rank,name,state,grade,medianBaseSalary,studentPopulation,campusSetting,schoolSize,description,uri,institutionType,carnegieClassification,studentFacultyRatio,totalGrantAid,percentOfStudentsFinAid,percentOfStudentsGrant
417,College of Wooster,OH,B-,120700.0,1997,Rural,small,"Known for its commitment to research and its historic Scottish ties, the College of Wooster is a small private liberal arts school in Wooster, OH. All Wooster undergraduates participate in research, matching one-on-one with a faculty member for an Independent Study capstone project in their senior year. Wooster’s 21 Division III varsity sports teams compete as the Fighting Scots, an allusion to the school’s roots in the Presbyterian Church. The school’s Scottish affinity goes further than athletics: the Wooster Scottish Arts Society fields a Pipe Band and Highland Dancers, and offers “Scottish Arts” scholarships on an audition basis. Some 97% of Wooster graduates report gaining admission to their top-choice graduate school.",the-college-of-wooster,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,11,24288623.0,98.0,98.0
418,New Mexico State University,NM,,110700.0,15891,Suburban,large,"A large, public land-grant university in Las Cruces, NM, New Mexico State University is one of the state’s two public flagship institutions. Undergraduates at NMSU can choose from close to 100 majors, with extensive offerings in agriculture, animal sciences and environmental studies. The school also offers majors in a wide range of professional fields like hotel management. NMSU has extensive cultural and recreational offerings on campus, including art galleries, a theater and an 18-hole golf course. New Mexico residents that meet certain GPA and standardized testing thresholds are eligible for the President’s Associates Excellence scholarship, which provides full tuition. Notable NMSU graduates include former New Mexico Governor Garrey Carruthers and Starbucks CEO Kevin Johnson.",new-mexico-state-university-main-campus,Public,Doctoral Universities: High Research Activity,16,25018456.0,96.0,95.0
419,"University of Puerto Rico, Mayaguez",PR,,129700.0,12594,Urban,large,"The University of Puerto Rico-Mayaguez is the second largest university in the University of Puerto Rico system. In addition to being a land-grant university, the University of Puerto Rico-Mayaguez is part of the sea-grant and space-grant research consortia and is considered one of the best institutions to study tropical marine science. Students on the 315-acre tropical campus can participate in 100 different student organizations, as well as 16 men’s sports teams and 12 women’s sports teams, called the Tarzans and the Janes, respectively. Notable alumni include biological oceanographer Antonio Mignucci and NASA scientist and inventor Olga D. González-Sanabria. ",university-of-puerto-rico-mayaguez,Public,Master's Colleges & Universities: Medium Programs,19,13876512.0,95.0,95.0
420,Stetson University,FL,C,109500.0,4547,Urban,medium,"Stetson University is a private school whose main campus is in DeLand, FL, located halfway between Daytona Beach and Orlando. Through the Roland George Investment Program, Stetson business students manage a real $5.5 million portfolio of bonds and stocks. More than a quarter of students major in a business field. The Stetson Hatters field 18 Division I varsity teams, with all sports competing in the ASUN Conference, except for football, which is a member of the Pioneer Football League. Some of Stetson’s most famous alumni played for the Hatters' baseball team: Cy Young Award winners Jacob deGrom and Corey Kluber both are Stetson alumni.",stetson-university,Private not-for-profit,Master's Colleges & Universities: Larger Programs,11,26849621.0,100.0,100.0
421,Sam Houston State University,TX,,107000.0,24043,Rural,large,"Sam Houston State is a large, public research university in Huntsville, TX, that offers a traditional college experience as well as a number of flexible degree offerings. Undergraduates at SHSU can choose from more than 80 majors, with liberal arts and pre-professional offerings. Many majors, particularly from the school of criminal justice, are available online. Sam Houston State accommodates a wide variety of students. Around 45% of students are first generation college students, and 75% work while pursuing their degree. While a small minority of students live on campus, the school maintains an active atmosphere with a large number of student groups, Greek life and traditions like the Bearkat tailgate. Notable SHSU alumni include broadcast journalist Dan Rather, director Richard Linklater and St. Luke’s Health CEO Melinda Estes. ",sam-houston-state-university,Public,Doctoral Universities: High Research Activity,20,21040681.0,87.0,73.0
422,Stonehill College,MA,B-,126600.0,2531,Suburban,small,"Founded by the Congregation of Holy Cross in 1948, Stonehill College in Easton, MA, gives students a Catholic liberal arts education to mold them into global citizens valuing integrity and compassion. Stonehill College offers 52 undergraduate majors in the liberal arts, including a dual engineering degree in partnership with the University of Notre Dame and King’s College. Criminology and psychology are among the most popular majors. Students are able to join several dozen clubs at Stonehill, including pre-professional groups, 14 club sports and various volunteer programs. The college competes in 23 varsity NCAA Division II sports. About 80% of students join a sports or recreation activity. Every year, students donate nearly 100,000 hours of community service through campus and partner programs. “The Farm” at Stonehill has donated about 95,000 pounds of produce to community partners. Stonehill offers a variety of different scholarships, such as ones for students who attend certain Congregation of Holy Cross high schools in Massachusetts and a scholarship for multiple family members that attend the college.",stonehill-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,12,21797641.0,100.0,100.0
423,Oakland University,MI,,110900.0,19831,Suburban,large,"A public research institution, Oakland University is located in Rochester MI, a Detroit suburb. OU’s on-campus Golf & Learning Center features two 18-hole golf courses, a driving range and three putting greens. Students receive a heavily discounted rate to golf. The Eye Research Institute Summer Undergraduate Program in Eye Research (SUPER) offers a unique opportunity for undergraduates to engage in ophthalmologic research. SUPER participants receive a research fellowship worth up to $4,250. 44% of students receive need-based financial aid and 75% of students receive some form of aid. 99% of employed OU graduates remain in Michigan.",oakland-university,Public,Doctoral Universities: High Research Activity,17,19081654.0,100.0,100.0
424,Kean University,NJ,,101400.0,15070,Suburban,large,,kean-university,Public,Doctoral/Professional Universities,16,18607985.0,99.0,97.0
425,"California State University, San Bernardino",CA,,101200.0,21752,Urban,large,"California State University, San Bernardino is a large public university. There were more than 19,000 students enrolled in Fall 2021, with the vast majority hailing from San Bernardino and Riverside counties. Eighty percent of students are first generation college students. The university is also a Hispanic Serving Institution. Students can choose from more than 70 academic programs, including a bachelor of science in computer engineering and a bachelor of arts in social work. The university’s Santos Manuel Student Union buildings offer a range of opportunities, including a bowling alley, gamers lounge, as well as a career center and the university’s Undocumented Student Success Center.  ",california-state-university-san-bernardino,Public,Doctoral Universities: High Research Activity,23,16266621.0,89.0,86.0
426,Rowan University,NJ,,107400.0,22080,Suburban,large,"Rowan University is a public research institution in Glassboro, New Jersey. In Fall 2022, more than 19,000 students were enrolled across undergraduate, graduate, medical and professional levels. The university, which traces its founding back to 1923, says it will become “a new model for higher education” because of its emphasis on agility, inclusivity and responsiveness. The university offers 90 bachelor’s programs, in addition to master’s, professional and doctoral degrees. The university has a planetarium and a fossil park. The university’s namesake, Henry Rowan, is honored with a statue on campus. The college of engineering is also named for Henry Rowan, the industrialist who, along with his wife Betty, donated $100 million to the school in 1992. ",rowan-university,Public,Doctoral Universities: High Research Activity,16,20466969.0,93.0,84.0
427,Saint Cloud State University,MN,,109000.0,13144,Urban,large,"An hour west of Minneapolis, St. Cloud State University is a large, hockey-focused public school in St. Cloud, MN. St. Cloud State’s campus is 100 acres and located along the Mississippi River. Spread across eight schools and colleges, there are more than 200 academic programs at the university. The most popular fields of study include communications, business administration and finance. St. Cloud State University is part of a nationwide effort to re-imagine the first-year experience aimed at ensuring success for all students, particularly low income, first generation and students of color. The St. Cloud State Huskies compete in the Division II Northern Sun Intercollegiate Conference in 16 of 18 sports, but the Huskies’ men’s and women’s ice hockey teams are Division I powerhouses. The men’s hockey team lost in the 2021 national championship game.",saint-cloud-state-university,Public,Master's Colleges & Universities: Larger Programs,16,4658613.0,99.0,98.0
428,University of Dallas,TX,C,124300.0,2836,Urban,small,"With an undergraduate enrollment of 1,400, the University of Dallas provides a tight-knit Catholic liberal arts education that is accepting of all faiths. The campus is about ten miles from downtown Dallas. The university offers 25 areas of study, as well as many non-major concentrations. The core curriculum consists of 19 courses in English, theology, natural sciences, social sciences and foreign languages. Students can choose to study abroad in modern language or science programs. Many students also participate in UD’s Rome semester programs. All incoming freshmen are automatically considered for merit scholarships ranging from $15,000 to $30,000 annually. There is also a scholarship for students who attend Catholic high schools in the Dallas-Fort Worth area. There are around 45 clubs and organizations for students to join, including science and humanities clubs, advocacy groups and nine sports and recreation clubs.",university-of-dallas,Private not-for-profit,Master's Colleges & Universities: Larger Programs,12,17173591.0,100.0,100.0
428,University of Memphis,TN,,97300.0,25394,Urban,large,"The University of Memphis is a large public research university in Tennessee’s second-largest city. Campus is a 15-minute drive from Downtown Memphis and a mile from the Memphis Botanic Garden. Memphis was awarded $50.2 million in research funding last year, marking a record for the school and a 23.2% increase from the year prior. FedEx is headquartered near campus in Memphis, and the company sponsors the university’s FedEx Institute of Technology, Memphis’ hub for emerging technology research.  Some of Memphis’ most famous alumni once suited up for the school’s athletic teams, including Pro Football Hall of Famer Isaac Bruce and former NBA MVP Derrick Rose.",university-of-memphis,Public,Doctoral Universities: Very High Research Activity,17,23494108.0,99.0,98.0
430,Washington & Jefferson College,PA,C-,117500.0,1188,Suburban,small,"Spanning a 65-acre campus 30 miles south of Pittsburg in Washington, PA, Washington & Jefferson College is a liberal arts college known for its long history—dating back to its founding in 1781. The college offers 33 undergraduate majors, 16 major emphases, and four pre-professional programs. Business, psychology and political science are the most popular majors. In January between the fall and spring semesters, the college holds JayTerm, a time when students complete an interdisciplinary course outside of normal curriculum and have an opportunity to study abroad or fulfill a professional experience. About 99% of students receive some form of financial aid. The average institutional aid for incoming freshmen is approximately $30,000. Through the Magellan Project, W&J provides funding to students to study abroad, fulfill an internship or complete research.",washington-jefferson-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,10,12779816.0,100.0,100.0
431,New York Institute of Technology,NY,C,119200.0,7260,Suburban,medium,"A midsize private university with campuses in Manhattan and Old Westbury, NY, the New York Institute of Technology provides its students with a STEM education that emphasizes career readiness. NYIT offers undergraduate students 41 majors across 6 different colleges. The most popular programs are in engineering, IT and architecture. Within 6 months of graduating, 94% of NYIT graduates found work or were furthering their education. The school’s Computer Graphics Lab helped pioneer some of the 20th century’s biggest advancements in computer animation, and boasts founders and key artists at Pixar, Disney and Dreamworks among its alumni. Notable NYIT alumni include Univision CEO Vincent Sadusky and Argus Cybersecurity’s North American president LaVern Rhaburn Sula.",new-york-institute-of-technology,Private not-for-profit,Master's Colleges & Universities: Larger Programs,13,26445941.0,99.0,99.0
432,Dordt University,IA,B-,103600.0,1949,Rural,small,"Dordt University in Sioux Center, IA, integrates the Christian faith into its teachings for students to carry on in their lives. Dordt has 40 undergraduate programs — including Christianity and Popular Culture, and theology — 12 preprofessional programs and graduate education programs. The top majors include education, business, engineering, agriculture and nursing. In May 2019, Dordt officially transitioned from a college to a university. Students are actively involved on campus; about 75% participate in clubs and over half attend chapel, although it is not mandatory. About 84% of students live on campus, and in 2018 more than half hailed from places farther than 500 miles away from campus. Dordt offers numerous study-abroad programs, and students often participate in mission-service trips over breaks. Within six months of graduation, 99 percent of students are either employed or in graduate school.",dordt-university,Private not-for-profit,Master's Colleges & Universities: Small Programs,14,9294153.0,100.0,100.0
433,Emmanuel College,MA,D,107900.0,2121,Urban,small,,emmanuel-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,13,13330407.0,100.0,100.0
434,North Carolina A&T State University,NC,,111700.0,14642,Urban,large,"The largest HBCU in the country, STEM-focused North Carolina A&T State University is in Greensboro, NC. NC A&T is the top producer of Black engineering graduates, and 13% of students are engineers.There are 54 undergraduate degree programs. The university has recently seen a rise in donations, receiving $88 million in donations last fiscal year, including a $45 million gift from MacKenzie Scott. The 2021 NC A&T freshman class includes a unique member: 35-year-old former NBA star J.R. Smith is joining the school’s men’s golf team. Politician, minister and activist Jesse Jackson graduated from NC A&T, where he was quarterback for the football team, student body president and civil rights leader.",north-carolina-a-t-state-university,Public,Doctoral Universities: High Research Activity,19,26647874.0,97.0,92.0
435,"University of Florida, Online",FL,,,6317,Urban,medium,"The University of Florida-Online is the virtual arm of the University of Florida, providing online education to undergraduates who choose not to enroll on campus. The university offers 25 programs in disciplines such as geography, environmental management and sports management. Tuition for online students is about half of what it costs to attend the University of Florida, and students are also eligible to receive financial aid. ",university-of-florida-online,Public,Baccalaureate Colleges: Diverse Fields,54,6052457.0,91.0,88.0
436,SUNY at Purchase College,NY,,110800.0,3884,Suburban,medium,"The artsiest member of the State University of New York system, SUNY at Purchase College is 30 miles north of New York City in Purchase, NY. There are 47 majors at Purchase, many of which center around the arts, such as Acting, Studio Production and Voice and Opera Studies. Purchase’s 500-acre campus almost exclusively features buildings of the same shade of light brick, metaphorically meant to emphasize that Purchase’s color comes from within. More than 40% of students major in the visual and performing arts. Purchase is a breeding ground for the biggest names in Hollywood, as actors Edie Falco, Wesley Snipes and Stanley Tucci are all alumni of the school.",suny-at-purchase-college,Public,Baccalaureate Colleges: Arts & Sciences Focus,11,5094242.0,83.0,73.0
437,St. Edward's University,TX,D,115500.0,3908,Urban,medium,"St. Edward’s University is a private institution founded by the Congregation of Holy Cross in Austin, TX. Undergraduates can choose from over 50 majors, including pre-professional programs, as well as partner programs with other universities like Washington University in St. Louis. Popular programs include psychology, biology and business administration. Approximately 90% of students engage in experiential learning before they graduate, and the university has 20 global partners for students to study abroad at. Merit scholarships for freshmen range from $14,000 to $26,000 annually. In 2020–2021, 83% of freshmen received merit scholarships. The Moreau Scholarship awards full tuition for a student who graduated from a Holy Cross high school. The university has produced 75 Fulbright Award winners since 2008.",saint-edwards-university,Private not-for-profit,Master's Colleges & Universities: Larger Programs,14,23388630.0,99.0,99.0
438,Massachusetts Maritime Academy,MA,,132600.0,1601,Suburban,small,"The Massachusetts Maritime Academy is a public college in Buzzards Bay, MA, originally established in 1891 to graduate Merchant Marine deck and engineering officers. The academy offers undergraduate programs in engineering, marine science, emergency management and transportation and business. Marine engineering is the most popular program. Many cadets are required to complete four “Sea Terms,” six-week voyages where cadets gain hands-on experience on the USTS Kennedy. About 10% of graduates from MMA pursue military service. There are a variety of clubs that cadets can join, including the Seventh Company regimental band, honor guard and drill team. Many freshmen compete in intramural sports for the Commandant’s Cup to build camaraderie within their company",massachusetts-maritime-academy,Public,Master's Colleges & Universities: Small Programs,12,3753729.0,99.0,99.0
439,"SUNY, College of Environmental Science and Forestry",NY,,104800.0,2214,Urban,small,"As the nation’s first college dedicated to environmental sustainability, SUNY College of Environmental Science and Forestry in Syracuse, NY, lives up to its name with education and research opportunities in the field. Many undergraduate students conduct research in fields from bioenergy to wildlife disease prevention. There are 23 majors for students to choose from, including aquatic and fisheries science, paper engineering, and conservation biology. SUNY-ESF offers several merit scholarships, including National Hispanic Scholarships, transfer student scholarships, and the Haudenosaunee Scholar Award for members of a Haudenosaunee nation. Due to its proximity to Syracuse University, SUNY-ESF students are able to take courses, join clubs and use the facilities at the university.",suny-college-of-environmental-science-and-forestry,Public,Doctoral Universities: High Research Activity,13,2247928.0,95.0,89.0
440,Willamette University,OR,C+,127300.0,1917,Urban,small,"The oldest university in the Western United States, Willamette University in Salem, OR, is a leader in hands-on educational experiences. Willamette offers about 40 undergraduate majors, as well as dual degree programs in engineering, forestry, data science and business. In June 2021, the university completed a merger with the Pacific Northwest College of Art, the Northwest’s oldest school of art and design. About half of students study abroad. Tokyo International University and Willamette have been sister universities for over 50 years, allowing for unique exposure to Japanese culture. Willamette offers merit scholarships up to $20,000 per year, as well as scholarships for incoming students committed to music, theater, art, STEM, public health and environmental science. The university boasts 27 governors, senators and representatives, 11 Oregon Supreme Court justices and one Nobel Prize winner among its alumni.",willamette-university,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,11,7146668.0,100.0,100.0
441,"University of Missouri, Saint Louis",MO,,101900.0,18531,Suburban,large,"Spread across 470 acres in suburban St. Louis county, the University of Missouri, St. Louis is the state’s largest public research university. Undergraduates can choose from over 80 degree programs, the most popular of which are in business, health and social sciences. UMSL also offers a number of online and evening degrees. The university has over 20 centers and institutes. Undergraduates are encouraged to take part in research, which they can present to state lawmakers at the annual Undergraduate Research Day. Incoming freshmen are automatically considered for scholarships ranging from $2,000 to $6,000 annually. UMSL offers 25 programs through the Fast Track Workforce Incentive Grant, which covers tuition and fees for Missouri residents ages 25 or older who are pursuing a degree in an in-demand discipline. More than 94% of UMSL’s graduates are employed, volunteering or continuing in higher education post-graduation, and about three-quarters of graduates remain in Missouri.",university-of-missouri-st-louis,Public,Doctoral Universities: High Research Activity,13,3148906.0,97.0,95.0
442,University of St. Thomas (TX),TX,C,107300.0,4329,Urban,medium,"The University of St. Thomas in Houston, TX blends the Catholic faith with a comprehensive educational experience. Undergraduate students can choose from nearly 40 majors, including STEM, nursing, education and premed. UST also offers 24 graduate degrees. UST’s core curriculum exposes students to a range of disciplines from mathematics to theology.  About 65% of freshmen practice the Catholic faith; the chapel hosts mass every day. Beyond the academic, honor and faith-based clubs, students can also take part in recreational trips throughout Texas, like horseback riding and wakeboarding, or campus ministry retreats. The Celts are provisional members in the NCAA Division III and accepted membership in the Southern Collegiate Athletic Conference. The university also prides itself on its diversity; about 68% of the student body are nonwhite, and 58 other countries are represented. UST’s business office offers a 0% interest monthly payment plan for tuition, and more than 96% of full-time freshmen receive a scholarship.",university-of-st-thomas-tx,Private not-for-profit,Doctoral/Professional Universities,14,9156319.0,93.0,91.0
443,Marist College,NY,C+,125100.0,7378,Suburban,medium,"Founded by the Marist Brothers, Marist College is a private liberal arts college in Poughkeepsie, NY, with a tight knit, active community. The college offers over 40 undergraduate majors, as well as dual degree programs. Popular areas of study include business, communications and psychology. In addition to its New York location, Marist also has a campus in Florence, Italy, the only four-year U.S. bachelor's degree program in the city. Over 700 students take part in athletics at Maristl. Campus life is elevated by over 80 student organizations, Greek life and beautiful views of the Hudson River. Marist awards academic scholarships ranging from $5,000 to $25,000 annually. Over the last five years, 97% of graduates were employed or in graduate school within six months of commencement. Marist alumni include 15 Fulbright Scholars and three Goldwater Scholars.",marist-college,Private not-for-profit,Master's Colleges & Universities: Larger Programs,16,27828111.0,97.0,96.0
444,"University of Wisconsin, La Crosse",WI,,105600.0,11161,Urban,large,"Part of the University of Wisconsin system, the University of Wisconsin, La Crosse is known for its biology and beer. Biology is the most popular major at UW-La Crosse, and biology students can choose from a variety of unique academic concentrations, such as aquatic science, biomedical science and plant and fungal biology. Of the 45 undergraduate fields of study, other popular programs include healthy and physical education and finance. This fall will mark La Crosse’s 60th Oktoberfest, one of the largest Oktoberfest celebrations in the U.S. UW-La Crosse students stay active—87% of students participate in intramural sports. Chef and television personality Sandra Lee and Green Bay Packers general manager Brian Gutekunst are both UW-La Crosse alumni.",university-of-wisconsin-la-crosse,Public,Master's Colleges & Universities: Larger Programs,19,4824862.0,79.0,64.0
445,Goucher College,MD,C+,112900.0,3163,Urban,medium,"Goucher College is a liberal arts institution in Baltimore, MD, that strives to give every student a globalized education. The college requires all students who entered as a first-year student to complete a study abroad program. There are 30 majors at the college. During their final year, undergraduates must complete a capstone class or a project within their major. Through this process, students are encouraged to develop a portfolio to showcase in a symposium. There are more than 60 student clubs on campus, such as religious organizations, service groups, and unique clubs such as the Historic European Martial Arts Club. Goucher holds many traditions on campus, such as Get Into Goucher day and a spring celebration for academic achievement and the arts. Students can also take advantage of several networking opportunities, such as Coffee Chats with alumni. In the 2019-20 academic year, 97% of students received financial aid and applicants are automatically considered for merit scholarships of up to $35,000.",goucher-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,7,9219041.0,100.0,100.0
446,University of Wisconsin-River Falls,WI,,94900.0,6138,Rural,medium,,university-of-wisconsin-river-falls,Public,Master's Colleges & Universities: Medium Programs,18,3860363.0,93.0,86.0
447,Augustana College,IL,C,121000.0,2446,Urban,small,"Augustana College in Rock Island, IL, is a liberal arts college that focuses on mentorship with advisors and exploration through professional opportunities. The college offers around 80 majors and pre-professional programs. Biology is by far the most populous major. Topics in business and psychology are also popular programs. Students have the opportunity to pursue research across any discipline in the field, a classroom, or a lab. Students are also encouraged to study abroad or complete an internship. Each year, the college gives the Augie Choice, a $2,000 fund, to around 550 students to complete one of these opportunities. For the class of 2019, 98% of graduates reported being employed or enrolled in graduate school within six months of commencement. There are around 200 clubs at the college for students to take part in, including 15 Greek life organizations.",augustana-college-il,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,11,22610346.0,100.0,100.0
448,Fairleigh Dickinson University-Florham Campus,NJ,,118500.0,3920,Suburban,medium,"Fairleigh Dickinson University’s Florham Campus in Morris County, New Jersey, is one of four campuses that operate under the FDU system. FDU Florham offers more than 60 undergraduate majors, with popular areas of study in psychology, business and communications. Fairleigh Dickinson offered more than $70 million worth of financial aid last year and 94% of full-time freshmen received some form of assistance. Florham’s 178 acre campus once belonged to socialite Florence Vanderbilt and her husband Hamilton Twombly. The university noted that the name Florham was derived from both their first names. Since 1958, FDU has owned and operated the campus, which remains primarily residential and houses nearly 1600 undergraduate and graduate students. Eighty percent of all freshmen stay on campus. The university boasts a thriving student life that includes fraternities and sororities, as well as a number of clubs and organizations; students must maintain at least a 2.0 grade point average to participate in clubs, a 2.3 GPA to hold a major office, and a 2.5 GPA to join Greek Life chapters. The FDU Florham Devils compete in the Middle Atlantic Freedom conference at the Division III level. Former basketball coach and ESPN College basketball analyst Seth Greenberg is one of many notable alumni to stem from Fairleigh Dickinson University.",fairleigh-dickinson-university-florham-campus,Private not-for-profit,Master's Colleges & Universities: Larger Programs,9,13705972.0,100.0,100.0
449,University of Maryland Global Campus,MD,,115100.0,86865,Suburban,large,,university-of-maryland-global-campus,Public,Master's Colleges & Universities: Larger Programs,19,387577.0,67.0,51.0
450,Duquesne University,PA,C+,116100.0,9161,Urban,medium,"Duquesne University in Pittsburgh, PA is the only Spiritan Catholic institution of higher education in the United States. Undergraduates can choose from about 80 majors across eight colleges, as well as pre-med and pre-law programs and combined degree programs. Duquesne also has campuses in Rome and Dublin. The Undergraduate Research and Scholarship Symposium is held each spring and encourages undergraduates from all areas of study to engage in research. There are more than 250 student organizations at Duquesne, and numerous cultural and nightlight opportunities in Pittsburgh. About 8,000 Duquesne students, faculty and staff participate in volunteer activities annually. DU offers merit scholarships based on high school GPA, ranging up to $18,500. Other scholarship programs include the “Spirit of Community” Scholarship for students passionate about civic engagement and the National Hispanic Recognition Scholarship, a full-tuition award for the highest-ranked National Hispanic Scholar.",duquesne-university,Private not-for-profit,Doctoral Universities: High Research Activity,12,31489441.0,96.0,95.0
451,Saint Michael's College,VT,C,117200.0,2218,Suburban,small,"The only Edmundite college in the world, Saint Michael’s College in Colchester, VT, is a private liberal arts college that emphasizes experiential learning. Students can choose from over 40 majors, as well as dual degree programs with other colleges, like Clarkson University and the University of Vermont. Popular programs include business administration, psychology and biology. In line with its Catholic roots, approximately 70% of students volunteer during their education. Additionally, more than a third of students study abroad. About 90% of students receive financial aid and all students are considered for merit awards, including the “Purple & Gold” Scholarships, which range from $17,000 to $30,000 annually. Nomination is required for the Book Award and the Presidential Scholarship, the latter of which is for Vermont students. Saint Michael’s has a 95% placement rate for full-time employment or graduate school. About 5% of alumni partake in full-time service programs.",saint-michaels-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,10,11743144.0,100.0,100.0
452,Rollins College,FL,B-,103500.0,3213,Suburban,medium,"Rollins College is a private liberal arts school in Winter Park, FL with a country club-esque campus where students take advantage of personalized majors to fit their individual goals. The campus is located on Lake Virginia, complete with a lakeside swimming pool with lounge chairs and a dozen tennis courts. Rollins prides itself on offering “cool classes,” with unique course topics includings children book writing, the history of piracy and sports analytics. Each spring on a day that is “too pretty to have class,” Rollins celebrates Fox Day by cancelling classes, allowing students to fully enjoy the picturesque campus. Fred Rogers, beloved host of “Mr. Rogers Neighborhood,” is a Rollins alumnus. This October, Rollins will unveil a 7-foot, 3,000-pound statue of Mr. Rogers.",rollins-college,Private not-for-profit,Master's Colleges & Universities: Larger Programs,11,18563772.0,95.0,94.0
453,Agnes Scott College,GA,B+,99400.0,1217,Suburban,small,"Located outside of Atlanta, GA, Agnes Scott College is an innovative women’s college with an experiential learning-based liberal arts core. The college offers close to 40 undergraduate majors, as well as programs in pre-health and pre-law. Psychology, biology and neuroscience are among the popular programs. Agnes Scott is part of the Atlanta Regional Council for Higher Education institution, allowing students to cross-register at any of the 18 other member colleges. Students take advantage of hands-on experiences at Agnes Scott; all first-year students engage in global immersion as part of the lliberal arts curriculum, and about half study abroad again. On average, 70% of students complete an internship and 36% are involved in research. The tight-knit community comes together through its 60 student organizations and wealth of traditions, including the sophomore ring ceremony. More than 80% of students are involved in community service. As a women’s college, Agnes Scott admits students who were assigned female at birth, as well as those who were assigned male or female at birth but who now identify as female, transgender, agender, gender fluid or non-binary. New for Fall 2022, all incoming students will receive the Agnes Assurance Scholarship, worth $22,000 annually, or a merit scholarship in a higher amount up to $26,000 annually. The college also offers awards covering the cost of attendance through Presidential Scholarships, and for Hispanic students through the Goizueta Scholarship.",agnes-scott-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,11,10348553.0,100.0,100.0
454,Allegheny College,PA,C+,119000.0,1682,Rural,small,"Allegheny College in Meadville, PA, is a private liberal arts college that encourages a well-rounded education for students. The college offers over 30 undergraduate majors, as well as pre-professional programs in health and law. Students can take dual degree courses with other colleges, like Case Western Reserve University and Chatham University. Popular programs include economics, environmental science and biology. Outside of the classroom, students take part in some of the more than 100 clubs, complete over 25,000 hours of community service annually and take part in undergraduate research. The Trustee Scholarship is the most prestigious award at the college, gifting up to $38,000 annually. The Top 10% Admission Program grants automatic admission to students from western Pennsylvania who graduate in the 10% of their class. Within eight months of graduation, over 90% of graduates are employed or continuing their education. Top industries include finance, healthcare, advanced manufacturing, government, non-profit work and education.",allegheny-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,17380328.0,100.0,100.0
455,Northwood University,MI,C+,102700.0,3035,Urban,medium,,northwood-university,Private not-for-profit,Special Focus Four-Year: Business & Management Schools,8,5587056.0,100.0,99.0
456,Berea College,KY,A,81600.0,1531,Rural,small,"Berea College, located in Berea, KY, guarantees that no student at the college has to pay tuition through awarding a Tuition Promise Scholarship valued at almost $200,000 over four years. Students at Berea are expected to participate in the work program at the college, where they work at least 10 hours per week throughout each regular term. Out of 44 undergraduate fields of study, including the popular biology, computer science and industrial production technologies, there is an option to create a custom major. About 93% of the class of 2019 graduates had studied abroad, fulfilled a paid internship, completed a service-learning course or participated in faculty-led research by the time they graduated. Berea College has a number of performing arts clubs, including music and theatre groups. There are also several campus publications and many multicultural organizations.",berea-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,18690723.0,100.0,100.0
457,Louisiana Tech University,LA,,112800.0,12398,Rural,large,"Louisiana Tech University is a STEM-focused public research institution in Ruston, LA, a college town in the northwest part of the state. Louisiana Tech does have a College of Liberal Arts, though STEM programs still dominate its academic scene. Biology, computer science and mechanical engineering are the most popular majors. The Thingery is a makerspace located on campus and offers workshops on topics from 3D modeling to animation. Each spring, Louisiana Tech hosts a new venture competition, with the top student entrepreneur teams earning the title of TOP DOG. Pro Football Hall of Famer Terry Bradshaw and Duck Dynasty star Phil Robertson both went to Louisiana Tech.",louisiana-tech-university,Public,Doctoral Universities: High Research Activity,23,22763943.0,98.0,97.0
458,Beloit College,WI,B-,105000.0,1160,Urban,small,"Beloit College is a private liberal arts college in Beloit, WI, that pushes students to think out-of-the-box. The 47-acre campus is home to an art museum, an anthropology museum, and a recreation center built in an old power plant. The college offers 43 majors, with the most popular programs in anthropology, sociology and psychology. Students can study abroad in more than 50 countries, including specialized programs like “Landscapes in Transition,” which allows students to explore water and land use in China and Japan. Beloit offers around 60 clubs for students to join. About 30% of students participate in Beloit’s 19 varsity sports teams. About 98% of students receive some form of financial aid, and 25% of students receive the Pell grant. Beloit offers several merit scholarships for domestic and international students, up to $36,000 a year.",beloit-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,10,13550134.0,100.0,100.0
